Provinsi,gabungan_pendudukmiskin,TPT,NEET_usiamuda,tenagakerjaformal,gabungan_HLS,gabungan_RLS,rasio_guru_SMA,rasio_guru_SMK,rasio_guru_SD,rasio_guru_SMP,rasio_sekolah_SMA,rasio_sekolah_SMK,rasio_sekolah_SD,rasio_sekolah_SMP,cluster,PC1,PC2
ACEH,14.056999999999999,14.510499999999999,27.094,38.784000000000006,14.434999999999999,9.594,0.10287693307040117,0.1286426606841133,0.10016458317248982,0.11775014680873377,0.003951453952181498,0.004028361371260861,0.007188414924282335,0.006284548581175395,2,4.367467328054682,0.7610557070117702
BALI,4.179,13.6155,9.692,47.194,13.591,9.423,0.062440981475265375,0.061822039465264954,0.06645522101414207,0.059183158453693006,0.0017461810811800643,0.001801634800529452,0.006286822586864199,0.002144776000823932,0,-3.5984339811190713,1.6220167289043073
BANTEN,6.058,13.1715,26.024,53.105999999999995,13.097,9.190000000000001,0.05625216759404507,0.05466039301811274,0.048053569033407975,0.05374215429379914,0.002713306671737025,0.002866667853865521,0.0038468847345333596,0.0035876319042705677,0,-3.2266829867903497,1.529541786058521
BENGKULU,13.672999999999998,14.0,21.308,33.07,13.89,9.029,0.07808368137410206,0.10272805508398428,0.08600986940996443,0.09694346172070342,0.0027360445816136786,0.003481369109845562,0.007176663599954444,0.00529499161803332,2,1.3614060911662917,0.45996504205962546
DI YOGYAKARTA,11.116,15.702000000000002,10.782,46.077999999999996,15.702000000000002,9.874,0.0695981642826227,0.07116164348968711,0.07478594016202413,0.06748339429999636,0.0028434971962520658,0.002307448505452496,0.006810773498497019,0.003425828068098305,0,-1.5162683847217124,1.5198221939231482
DKI JAKARTA,4.432,13.366,16.234,63.138,13.34,11.408,0.06282271687214626,0.05923516037159059,0.05205922522751827,0.0549754080605515,0.00265034248294013,0.0028457291586543067,0.0029761775162666136,0.003020709738866164,0,-3.60766190259576,2.22188911337973
GORONTALO,14.655000000000001,13.582999999999998,24.896,37.263999999999996,13.338,8.136,0.06479695349204498,0.10693593142205586,0.07896322180849254,0.10174060032862701,0.0022576172053773804,0.003576877890773042,0.008566636757799733,0.008062945441619406,2,1.7896325011120136,0.2540570387261034
JAMBI,7.468000000000001,13.322999999999999,21.610000000000003,40.532,13.219999999999999,8.784,0.07399022458274762,0.0895605423224123,0.07635238012098902,0.09544690637790132,0.00302416104512171,0.0036166312036567594,0.006694705602754716,0.005857004845708514,2,0.6108246012000149,0.7128832446728515
JAWA BARAT,7.598999999999999,12.8055,25.666000000000004,45.257999999999996,12.763,8.843,0.05212051169404093,0.054239739253695976,0.04756565825844507,0.05295060716799453,0.0021562748976541716,0.002704464596178071,0.00436332262743124,0.003241299242827142,0,-3.5458722605005892,1.1529670509567267
JAWA TENGAH,10.541,12.966999999999999,19.27,40.128,12.906,7.978,0.057562805057332175,0.05638856388724498,0.0650842884627438,0.05841765293422302,0.0019124446765562228,0.0018842660210866419,0.007138630549382944,0.002845026965914943,0,-2.8978600287644505,0.726918901495212
JAWA TIMUR,10.171000000000001,13.516499999999999,19.23,37.434000000000005,13.438999999999998,8.146,0.06259036056203142,0.06218420236586365,0.07208556772887653,0.06531844079370026,0.002766125171629424,0.0027250330280123784,0.0074482416615234,0.004042617487978605,0,-1.4763651576403638,0.5270047824243526
KALIMANTAN BARAT,6.565,12.905000000000001,22.698,41.652,12.818000000000001,7.698,0.06333032721502614,0.06127859740813375,0.07114718628322086,0.07274793897732641,0.003519259675998114,0.0029801260365118322,0.007902067732975814,0.0059176029072701706,0,-0.5943160933743705,0.45216430477731906
KALIMANTAN SELATAN,4.277,12.975999999999999,20.512,44.156,12.922,8.556999999999999,0.07324177393800728,0.07169642955178823,0.08474875070208729,0.08357413018509204,0.0030219812042154006,0.002199380379989695,0.008237677167772774,0.00553199979563567,0,-0.16851854637175206,1.2168130215550654
KALIMANTAN TENGAH,5.16,12.772499999999999,23.528,48.332,12.805000000000001,8.776,0.08218910866880566,0.09302352698187107,0.09423254279076684,0.09704197375640734,0.0039255766227785744,0.004096481335137966,0.009585368724079472,0.008099542925178968,2,2.7104572779079117,0.8408800536476668
KALIMANTAN TIMUR,5.943,14.027000000000001,19.588,55.80800000000001,13.968,10.0,0.06499809335006039,0.06352711022058707,0.06362478235096106,0.06797792681194573,0.0028566545660639814,0.002567863789395268,0.004612819340531239,0.00425602956055521,0,-2.1572638000186375,1.9342715998486002
KALIMANTAN UTARA,6.343,13.396,18.802,50.006,13.254,9.459999999999999,0.07593791712289469,0.08395276360354445,0.07713773666796427,0.08626658613887388,0.0036282727042241092,0.003111512288967268,0.006085883651337586,0.005822856567895876,0,0.16989942430373442,1.0763045614396323
KEP. BANGKA BELITUNG,4.707,12.3925,21.394,49.188,12.328999999999999,8.3,0.05778003593311628,0.06840784760803306,0.06002028564511406,0.060880366872540656,0.002367229099427279,0.002337923928564568,0.0051616151632746556,0.003642031715299904,0,-2.85321991913832,1.1032546102410818
KEP. RIAU,5.437,13.253499999999999,16.176,65.80199999999999,13.159,10.443000000000001,0.06519344739592653,0.06534141646241293,0.06236248268289489,0.06388241246045483,0.0029459621266208673,0.0027433239694100485,0.004311588043220055,0.004146227533800981,0,-2.4965804068965194,1.944028350655488
LAMPUNG,11.049,12.924000000000001,21.528,30.53,12.84,8.296000000000001,0.06900439822773832,0.06985776277102408,0.0712810665647429,0.07223298726517983,0.003048927046635231,0.00318282031405403,0.0059069240208775705,0.004332776127667118,0,-0.8722521183972314,0.0008559830557013673
MALUKU,16.167,14.253499999999999,30.566000000000003,35.154,14.126999999999999,10.243,0.0945972238256835,0.12746989498220138,0.0891666543803302,0.11793228904713093,0.00415823472830377,0.005529107154266413,0.008841802209677526,0.0077373261812078735,2,5.19867977669588,0.2881541399204104
MALUKU UTARA,6.254,13.738999999999999,28.064,35.092,13.746,9.287,0.08662786710960275,0.10925219070448859,0.09067133521197208,0.11594606016510303,0.005013941214855218,0.008050308424734214,0.009405075711414254,0.008734518012514752,2,5.34877113389417,-0.009015298105065035
NUSA TENGGARA BARAT,13.115,13.98,19.268,27.903999999999996,14.02,7.734,0.08315428116419649,0.09915306426262004,0.08511666685570568,0.12483237043698489,0.003089184566613303,0.004123871140575138,0.00645688015530182,0.006011832806505853,2,2.161711745747101,-0.23699385173592136
NUSA TENGGARA TIMUR,19.623,13.447,18.116,26.504,13.35,7.937,0.08177534993266572,0.09028456035498378,0.08338090558081405,0.09752277422300477,0.002998755025762833,0.0033787000556469793,0.007893660404669,0.005738173302037745,2,1.5603662738428496,-0.8111191512843469
PAPUA,11.2245,4.456125,14.02,20.517500000000002,4.4472499999999995,5.0465,0.06838193519367435,0.09038888358935035,0.056824315233055,0.07279556647054554,0.003463448962186839,0.0037392996926237853,0.006581562742757214,0.00524775182070162,1,-1.098080758388012,-4.49846747304712
PAPUA BARAT,12.5315,9.213,17.938,27.113,9.251999999999999,6.298,0.07756951919780548,0.08993693613686703,0.07617869028906621,0.08994618835285753,0.004066215875354495,0.003285323087566028,0.00820965888241347,0.006124567920444427,2,1.0113204365002182,-2.353750780769304
PAPUA BARAT DAYA,12.0525,9.5185,17.625999999999998,29.801,9.513,6.574,0.08973787684604957,0.08681595710342552,0.08153542119705214,0.09988337463828707,0.004967408768368669,0.0039579788027755474,0.008831064121549746,0.007097757714270116,2,2.4314631910954123,-2.406288300347651
PAPUA PEGUNUNGAN,15.9785,4.456125,9.053999999999998,4.3375,4.4472499999999995,2.8045,0.06270100044125143,0.0674632916378761,0.03558199070839969,0.05467938840588672,0.004153063140927423,0.004369565868634553,0.005083881746937635,0.00487696379617541,1,-2.419890713460867,-6.568035589306599
PAPUA SELATAN,11.5675,4.456125,12.364,16.0055,4.4472499999999995,4.4445,0.06769309750162877,0.089963526947544,0.0459765013284585,0.0698427071687128,0.0031305033129482357,0.003653860649628766,0.006103661729705954,0.0048197129531463555,1,-1.7715291730369978,-4.897537109624092
PAPUA TENGAH,15.5625,4.456125,13.657999999999998,8.2015,4.4472499999999995,3.4935,0.06483261363253275,0.08604030331800114,0.03962268085476643,0.0617299843035254,0.003440605304745906,0.004337193197580247,0.004583131864803774,0.0044939977677257645,1,-2.0497294853432018,-5.844700706119385
RIAU,6.659000000000001,13.5255,21.996,47.44199999999999,13.431000000000001,9.354000000000001,0.07069668554948132,0.07950202862414628,0.06809278728679125,0.07984449929407741,0.002704922554962585,0.00286312538516729,0.004923919392248366,0.004814549925362769,0,-1.0289386072928928,1.374196915063122
SULAWESI BARAT,11.23,13.124,21.278,26.778,13.004,8.153,0.0805253295152765,0.102406941991351,0.0995299815553592,0.10842426443885385,0.0030912674453084403,0.005145287391056243,0.009226633565865222,0.007208984570868955,2,3.151493065601505,-0.28336422700965086
SULAWESI SELATAN,8.286,13.743500000000001,21.895999999999997,37.898,13.633,8.748,0.06930598349677222,0.08472455994213168,0.08005526650332936,0.08871032267269471,0.002649157482185092,0.00334286638093741,0.007310014120533127,0.005082377716800158,0,0.150752361841585,0.9352277815114043
SULAWESI TENGAH,11.888,13.616499999999998,21.9,33.742000000000004,13.463,8.998,0.07181435503564634,0.0934805006179641,0.09073986231738103,0.10394637455208193,0.0029546261379891085,0.004338118905309217,0.009406319444689847,0.007554370735325018,2,2.3542019664865026,0.35016746549888195
SULAWESI TENGGARA,11.122,13.894,20.613999999999997,37.982,13.818000000000001,9.334,0.0896813863799901,0.11887484703159008,0.09273371124974891,0.11968760213839409,0.003352110183918173,0.004796200657977883,0.007957020225565058,0.006675784592032605,2,3.437394666089731,0.43872250761081877
SULAWESI UTARA,7.178999999999999,13.228,30.310000000000002,42.396,13.081999999999999,9.764999999999999,0.07454936684775619,0.09102947109828105,0.08983453008457651,0.09753692699059417,0.0036540886455995263,0.00420806330448619,0.010159829015902214,0.007318658806468534,2,2.673624946578682,1.2173123230459304
SUMATERA BARAT,5.858,14.484,20.348000000000003,35.78,14.25,9.346,0.0714141495830504,0.08316539850899873,0.08058839653435532,0.08842737551751353,0.002205323060886305,0.002379161093094534,0.007140732026338777,0.004210644910144683,0,-0.5133738127346485,1.6221592936663487
SUMATERA SELATAN,11.452,12.7695,23.756,36.824,12.690999999999999,8.532,0.06941415505173622,0.06852325734928218,0.0682405816552147,0.07426757557273793,0.0028022461660790732,0.002434693056274738,0.005326268612827898,0.004008073225747311,0,-1.3045250829130033,0.44140838618134903
SUMATERA UTARA,8.033,13.543000000000001,19.656,41.694,13.442000000000002,9.828999999999999,0.062007350488351785,0.06883666335788959,0.0728810623191893,0.07272393293208788,0.0027558203185200445,0.0031471981098897895,0.006392827642927368,0.004274356010049759,0,-1.292103568619535,1.1852296000179678
